"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"Base Year",
"Paraguay","288","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","380700000000","164200000000","629400000000","725400000000",,,,,,,,,,,,,,,,"",
"Bahrain, Kingdom of","419","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-84099999.9999995","-120900000","-197400000","-185400000","-216200000","-155400000","-145100000","-112300000","-347300000","-902300000","-892300000","-1415500000","-1442800000","-1611600000",,,,,,"",
"Saudi Arabia","456","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","3435000000","6650000000","4879000000","2778000000","8004000000","1619000000","14362000000","23971000000","34369000000","32399000000","26416000000","36316000000","41207304687.5","40374225000","61843896875","54825102700","58975414570.6472","44296572710.1133",,"",
"Myanmar","518","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-118200000","-204600000","-22000000","-15700000","-91200000","-3800000","273000000","453300000","349100000","-222100000","-223400000","-7029600000",,,,,,,,"",
"Iran, Islamic Rep. of","429","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","277547800","1455071500","-15932016100","-21772142370","-26932991000","-28332614000","-25742403000","-28347105000","-23212000000","-33823071000","-32555433000","490383929.031585","51601589477.7185","67832855084.6349","34364888902.7742","28863378083.1128",,,,"",
"Oman","449","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-322000000","-360000000","-371000000","-208000000","-150000000","-393000000","-1367500000","-1766500000","-3114100000","-3231100000","3637100000","-4433600000","-4957400000","-4785000000","-5506200000",,,,,"",
"Burundi","618","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-8698000000","-11545000000","-10906000000","-18778000000","-34286000000","-26052900000","-9078100000","-6368900000","-5103600000","-20887700000","-13375700000","-22055200000","-9384400000","2775100000","-10489100000","-3706700000",,,,"",
"Georgia","915","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","231870114.642192","67328704.0702434","73147386.2107326","67188512.9706912","180556514.534749","170778282.26937","312538704.426098","66687927.9384028","-256818386.908322","-196465690.675936","-640607863.645189","-712277271.815402","-241692113.167513","-506662860.484365","-267947834.173774","-870722028.115287","-1687669385.01974","-2052763055.49991","-1867681413.42893","",
"Guatemala","258","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-1751416300","-920825369.331607","-2533291682.62292","-2592418181.05386","-2688876951.11465","-2567913445.51274","-2413411484.9309","-6484812295.28386","-7104566671.97414","-9108731461.35441","-9784783457.11832","-12884936018.3909","-12945321420.7035",,,,,,,"",
"Vietnam","582","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-6327000000","-6440000000","-8706000000","-9755000000","-13401000000","-16779000000","-22810000000","-34963000000","-48083000000","-77928000000","-82250000000","-119804000000","-130192000000","-153594000000","-187033000000","-215253000000",,,,"",
"Timor-Leste, Dem. Rep. of","537","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","145000000","153000000","288000000","169000000","-417000000","-1017000000","-1553000000","-985000000","-1235000000","-833000000","-972000000","-1365000000","-2514000000","-1732000000","-2658000000",,,,,"",
